,start_station_name,value
37,Grove St PATH,42556
75,South Waterfront Walkway - Sinatra Dr & 1 St,34245
44,Hoboken Terminal - River St & Hudson Pl,33020
43,Hoboken Terminal - Hudson St & Hudson Pl,30244
22,City Hall - Washington St & 1 St,23289
69,Newport Pkwy,21961
38,Hamilton Park,20477
68,Newport PATH,19965
42,Hoboken Ave at Monmouth St,19501
61,Marin Light Rail,19230
1,12 St & Sinatra Dr N,17137
2,14 St Ferry - 14 St & Shipyard Ln,17066
25,Columbus Dr at Exchange Pl,16731
45,Hudson St & 4 St,15883
39,Harborside,15754
0,11 St & Washington St,15502
81,Washington St,15101
54,Liberty Light Rail,14563
7,8 St & Washington St,14423
57,Madison St & 1 St,14124
